,visitor_id,visitor_location,marketing_channel,gender,product_views_Mon,product_views_Tue,product_views_Wed,product_views_Thu,product_views_Fri,avg_rating_Mon,avg_rating_Tue,avg_rating_Wed,avg_rating_Thu,avg_rating_Fri,avg_price_Mon,avg_price_Tue,avg_price_Wed,avg_price_Thu,avg_price_Fri,time_on_site_Mon,time_on_site_Tue,time_on_site_Wed,time_on_site_Thu,time_on_site_Fri,pages_visited_Mon,pages_visited_Tue,pages_visited_Wed,pages_visited_Thu,pages_visited_Fri,converted_Fri
0,1,North America,youtube,M,4,5,2,1,2,3.9,2.19,4.87,3.47,1.24,29.74,54.42,82.89,37.47,69.17,57,33,23,46,57,4,5,5,4,6,1
1,2,South America,organic,F,2,5,0,1,5,1.31,2.16,1.98,3.09,1.8,65.33,76.77,90.53,81.09,43.44,24,28,39,24,51,5,6,7,6,2,0
2,3,Australia,instagram,M,3,4,0,-3,5,3.26,4.79,3.12,2.58,4.58,72.87,66.38,68.3,42.59,71.65,23,34,22,34,31,1,3,3,2,3,1
3,4,North America,facebook,M,1,0,0,5,0,2.66,4.79,3.41,2.28,3.36,29.08,76.14,57.78,69.51,47.73,56,26,43,22,39,3,4,7,7,1,0
4,5,Asia,instagram,F,1,5,2,2,3,2.76,2.38,3.32,1.62,1.74,49.47,28.04,77.41,38.28,39.01,35,54,30,47,57,6,6,5,2,4,1
5,6,South America,organic,M,2,2,1,1,0,2.8,3.6,2.28,4.36,4.96,53.65,73.79,81.24,98.71,98.93,49,45,29,20,56,5,2,4,5,5,0
6,7,North America,instagram,M,1,1,0,5,5,3.32,4.75,4.61,2.86,1.57,33.39,89.82,36.69,27.46,93.97,20,53,55,33,45,1,3,5,7,3,1
7,8,Australia,youtube,F,2,1,6,0,0,3.25,1.89,4.03,2.31,4.67,27.31,24.99,71.35,68.26,47.08,45,39,22,33,55,2,1,3,5,4,0
8,9,Europe,youtube,M,4,2,0,0,3,2.12,1.1,4.31,2.86,4.01,57.99,38.72,51.64,94.66,30.22,24,41,42,39,36,4,3,4,7,1,0
9,10,Asia,organic,M,3,1,0,0,0,2.1,4.18,2.15,4.24,3.18,73.91,31.23,59.66,27.93,86.19,26,31,37,40,44,1,3,6,3,7,0
10,11,South America,facebook,M,4,3,1,0,6,4.54,3.48,4.05,3.36,3.95,64.55,54.25,40.0,35.64,59.86,55,28,50,47,43,5,3,7,7,6,0
11,12,South America,google,F,0,5,0,3,4,3.3,1.94,1.49,2.13,4.42,39.07,97.05,55.69,91.0,33.22,20,25,36,56,48,4,6,6,2,7,0
12,13,Europe,organic,F,0,4,4,0,0,3.27,3.12,2.52,3.5,2.34,89.87,60.94,65.74,42.03,71.8,22,38,36,52,34,5,7,4,7,7,0
13,14,Europe,google,M,2,4,5,1,0,1.25,4.22,1.6,1.84,1.16,95.88,96.51,85.89,67.88,29.04,28,33,27,47,54,6,2,4,5,3,0
14,15,Asia,google,M,0,4,0,4,2,2.02,1.09,4.4,1.83,4.75,43.75,81.76,58.67,54.25,24.9,51,23,39,56,41,5,5,1,1,3,1
15,16,Australia,instagram,F,4,1,2,5,1,3.84,1.41,4.05,3.94,2.35,91.04,33.64,99.98,93.17,70.36,29,20,39,40,22,1,6,6,6,6,1
16,17,Australia,facebook,F,0,0,0,5,5,1.11,4.05,4.9,3.52,3.6,49.74,20.75,21.8,42.84,29.68,20,34,39,44,45,3,4,6,2,1,1
17,18,South America,facebook,F,4,1,0,-2,5,2.33,1.0,3.61,2.32,1.3,84.57,28.49,67.46,41.33,30.43,25,60,24,35,31,7,5,6,4,2,1
18,19,Asia,organic,F,4,4,4,5,5,2.15,3.58,2.03,4.69,2.44,34.08,63.77,39.03,27.3,47.81,40,37,54,58,52,6,7,2,3,5,1
19,20,South America,google,M,3,1,4,0,4,4.87,2.28,2.95,2.0,4.63,39.38,94.78,51.78,83.26,50.58,45,46,31,29,54,3,1,2,1,5,0
20,21,Australia,instagram,M,1,1,0,0,0,4.15,1.82,4.53,3.2,2.22,29.39,43.94,86.33,24.31,34.25,43,60,26,53,42,7,3,2,4,5,0
21,22,Australia,youtube,F,4,1,3,0,0,3.6,3.43,1.2,2.79,4.15,94.46,38.19,48.14,57.44,58.2,41,51,45,29,42,1,2,1,7,4,0
22,23,South America,google,F,0,5,0,3,4,1.03,2.13,1.08,3.86,2.18,23.17,46.74,36.96,47.41,47.59,33,38,46,44,24,5,4,4,1,5,1
23,24,North America,instagram,M,2,0,7,0,0,2.94,3.88,3.1,4.64,4.99,28.69,57.29,68.56,77.17,35.75,26,20,44,52,24,3,6,6,6,4,0
24,25,Asia,youtube,F,1,5,5,0,0,2.53,3.1,3.1,2.46,2.17,43.48,97.25,49.73,52.81,35.64,31,30,42,49,32,1,2,4,3,2,0
25,26,Australia,facebook,M,5,0,0,3,0,4.67,4.96,2.56,4.41,3.03,55.54,29.07,49.24,42.76,24.26,32,47,37,57,53,5,6,2,4,6,0
26,27,South America,facebook,M,1,0,2,0,0,1.28,1.13,4.63,3.83,2.66,38.47,32.1,42.25,63.91,75.89,37,43,43,40,46,4,6,3,6,2,0
27,28,North America,google,M,5,1,2,1,2,4.93,4.8,1.44,4.47,3.53,75.4,48.25,28.08,43.13,35.76,24,20,31,54,34,3,5,5,6,7,0
28,29,Australia,facebook,F,3,5,0,3,0,4.42,4.86,1.64,4.45,2.17,32.45,56.21,28.8,55.14,20.54,45,25,25,37,44,6,7,5,7,7,0
29,30,South America,youtube,F,1,2,6,0,0,2.84,2.62,3.02,3.57,1.44,59.01,67.35,59.43,62.72,47.07,33,23,46,46,41,4,7,6,4,7,0
30,31,Asia,organic,M,0,5,4,4,5,1.42,2.06,3.33,2.05,2.59,52.15,94.47,65.29,26.96,39.05,43,30,59,29,35,6,3,6,4,6,0
31,32,Australia,facebook,F,3,4,0,0,6,3.91,4.01,1.17,1.25,1.99,71.47,81.84,87.92,91.97,47.04,33,51,35,37,59,7,6,1,3,3,0
32,33,Asia,instagram,M,2,3,0,3,0,2.92,1.62,4.65,3.02,1.61,52.76,58.18,67.18,89.98,88.7,50,60,50,27,23,2,3,3,1,6,0
33,34,Europe,organic,M,5,5,0,0,5,1.81,1.44,3.98,4.27,3.33,81.98,67.17,31.68,81.06,29.17,57,38,49,52,52,2,5,3,2,5,0
34,35,South America,organic,F,0,0,3,-2,5,2.13,1.62,2.29,3.12,2.7,25.45,26.03,28.69,92.86,64.03,37,39,32,60,53,1,7,2,5,7,1
35,36,South America,google,M,4,3,4,4,-3,3.58,3.83,3.25,3.72,3.27,71.03,53.82,65.2,69.09,83.87,32,30,56,44,41,2,6,2,3,3,1
36,37,North America,organic,F,1,3,0,2,1,1.33,1.04,4.59,1.2,3.5,48.96,68.99,23.39,98.09,67.15,51,41,34,33,43,5,6,1,6,7,0
37,38,Asia,facebook,F,1,4,7,3,0,3.76,2.29,4.0,2.83,3.2,25.56,20.25,95.16,38.02,99.63,23,23,60,25,52,1,2,5,5,1,0
