userID,age,sessions,time_spent,pages_visited,cart_items,cart_value,checkout_status,device,location
1,62,3,13.295129,2,20,199.21,0,Desktop,Location 1
2,65,2,21.68640546,3,21,294.82,0,Desktop,Location 3
3,18,7,17.13522023,4,23,240.87,0,Desktop,Location 4
4,21,9,29.58931066,8,16,183.78,1,Desktop,Location 2
5,21,3,25.94858392,4,10,59.51,1,Tablet,Location 4
6,57,9,36.06167874,9,16,195.4,1,Desktop,Location 5
7,27,2,6.259057228,1,14,116.28,0,Mobile,Location 2
8,37,8,28.50945952,7,16,118.14,1,Desktop,Location 1
9,39,5,21.0738144,7,25,175,0,Tablet,Location 1
10,54,5,28.68925956,6,22,196.29,0,Desktop,Location 2
11,41,3,5,2,14,159.23,0,Desktop,Location 4
12,24,5,6.566889441,1,19,250.59,0,Desktop,Location 5
13,42,8,37.06353532,9,9,88.41,1,Tablet,Location 2
14,42,4,45,11,24,316.2,0,Mobile,Location 5
15,30,5,10.76302099,3,16,184.16,0,Desktop,Location 2
16,19,8,20.66928086,5,24,313.47,0,Mobile,Location 1
17,56,1,31.82041711,6,25,249.95,0,Desktop,Location 2
18,57,5,13.74422894,3,10,77.91,0,Desktop,Location 5
19,41,5,19.06136251,4,10,62.69,0,Desktop,Location 1
20,64,9,24.75220747,5,21,186.52,0,Desktop,Location 2
21,42,8,42.35459458,8,8,87.09,0,Tablet,Location 3
22,35,9,13.8606555,3,6,93.39,0,Mobile,Location 4
23,55,6,18.23219255,4,22,227.24,0,Tablet,Location 3
24,43,7,40.76878696,11,19,160.95,0,Tablet,Location 4
25,31,3,5,1,22,211.96,0,Mobile,Location 4
26,26,9,41.38133711,9,7,84.78,0,Desktop,Location 4
27,27,9,25.15416619,5,11,137.21,1,Desktop,Location 3
28,38,9,19.92624427,5,19,234.3,0,Desktop,Location 3
29,34,1,36.78728807,8,6,52.82,0,Desktop,Location 3
30,23,1,45,12,25,312.94,0,Desktop,Location 4
31,33,2,28.44250835,7,25,185.76,0,Mobile,Location 1
32,65,1,29.54819161,7,12,118.96,1,Desktop,Location 2
33,18,6,13.43208178,3,9,102.49,0,Desktop,Location 2
34,36,9,5,1,21,184.66,0,Desktop,Location 2
35,53,4,6.744850461,1,12,104.37,0,Desktop,Location 5
36,42,1,12.11038643,1,17,160.71,0,Desktop,Location 5
37,47,5,28.24182872,7,13,138.9,1,Mobile,Location 5
38,37,3,27.29207825,5,13,153.68,1,Tablet,Location 1
39,37,2,24.66278453,8,13,129.09,0,Desktop,Location 1
