user_id,age,signup_date,last_purchase_date,total_purchases,total_spent,favorite_product_category,location,gender,email_domain
1,33,1978-11-01 17:03,2020-05-11 4:13,10,840.9549925,books,Lake Gerald,female,gmail.com
2,32,2016-04-08 14:19,1959-01-07 5:45,2,1147.412095,books,North Justinburgh,male,yahoo.com
3,19,2021-03-08 7:01,2006-10-29 16:56,6,1301.284835,books,West Alec,female,yahoo.com
4,48,2006-01-11 11:04,1966-07-01 20:22,8,1404.261405,books,Annaton,male,hotmail.com
5,75,1985-06-16 1:41,2013-05-14 12:44,3,1968.752964,books,East Markburgh,female,yahoo.com
6,76,1960-02-12 12:06,1996-10-02 14:24,46,1901.805183,home,Port Melanie,female,yahoo.com
7,53,1987-01-08 0:35,1974-05-06 13:57,34,171.2260084,electronics,West Erin,female,yahoo.com
8,57,1979-12-24 5:37,2008-09-10 15:42,18,1739.610644,electronics,Antonioview,female,yahoo.com
9,52,1980-12-22 23:02,1986-02-03 5:05,49,1069.404308,clothing,Cynthiaville,male,gmail.com
10,27,1995-03-21 4:45,1998-08-03 8:17,45,1198.763055,books,Tarahaven,female,yahoo.com
11,43,2009-04-23 16:43,1950-08-24 22:02,23,112.1120496,home,Sharibury,male,hotmail.com
12,20,1957-08-04 14:04,1955-01-30 18:05,6,1487.462053,clothing,South Ellen,male,yahoo.com
13,33,1972-02-11 13:36,2010-12-15 7:08,2,298.2282109,books,West Ericaburgh,male,hotmail.com
14,50,1952-03-01 4:25,2005-02-15 19:51,19,375.4170761,beauty,Lake Chad,female,yahoo.com
15,27,1991-03-15 9:20,1988-12-22 0:46,8,1051.32015,electronics,Christensentown,female,yahoo.com
16,56,1965-09-14 13:43,1986-05-14 14:35,14,77.46066961,electronics,West Eric,male,hotmail.com
17,29,2006-08-26 4:30,1966-07-14 11:13,35,411.1779095,books,Kristenchester,female,gmail.com
18,78,2018-05-09 8:13,1979-04-26 13:25,26,373.6817425,electronics,Willieport,male,yahoo.com
19,61,1959-12-15 9:52,2005-08-14 23:56,47,1424.980954,clothing,Lake Joe,female,yahoo.com
20,26,1952-12-22 7:13,2011-01-11 1:54,25,1195.31105,books,Martinfort,female,yahoo.com
21,51,1952-10-28 14:57,1957-09-22 20:13,27,1486.049323,books,Johnside,female,yahoo.com
22,34,1963-03-09 9:32,1958-09-29 8:22,35,199.6856936,beauty,North Sharonfort,male,gmail.com
23,57,1968-03-04 23:23,2020-08-16 7:27,21,485.7978152,books,West Jonathon,female,gmail.com
24,30,2011-06-20 3:06,1980-12-29 2:31,26,1569.178924,books,South Alexton,male,hotmail.com
25,33,2014-04-24 0:36,1963-04-28 6:32,10,341.5172648,home,South Stephaniefurt,male,yahoo.com
26,23,1959-05-24 13:57,1982-01-31 21:19,32,74.9233292,beauty,Port Ashley,female,gmail.com
