,Age,Location,Device,Variant,Time Spent,CTR
0,62,Location2,Device2,Control,13.92866854318459,0.08477598871868905
1,18,Location1,Device1,Variant B,11.310517738580295,0.09685886809355494
2,21,Location2,Device1,Variant B,24.84210015489373,0.0976300015405616
3,21,Location1,Device3,Variant B,20.06129986541151,0.10978296295118381
4,57,Location1,Device2,Variant B,34.49550298554413,0.0685788968045022
5,27,Location3,Device1,Variant B,26.129246067338567,0.14934051643858004
6,37,Location3,Device3,Variant B,20.52536203722959,0.09578815927165317
7,39,Location2,Device1,Variant A,21.52521696058984,0.1499854437045457
8,54,Location3,Device2,Control,21.910608195538998,0.1355345633012567
9,41,Location1,Device2,Variant A,27.64278758976079,0.13726630621873173
10,24,Location2,Device3,Variant B,21.11301612117428,0.12045903698363758
11,42,Location2,Device3,Variant B,19.659044491954113,0.09285115821577193
12,42,Location2,Device3,Variant B,32.975052556026235,0.1376396228639207
13,30,Location2,Device3,Variant A,26.208501620291592,0.08787544427105165
14,19,Location3,Device3,Variant B,21.334799602928435,0.12987836326203228
15,56,Location2,Device2,Variant A,7.8009008392796915,0.06978077637954655
16,57,Location1,Device3,Control,37.52736763436707,0.13096605542094444
17,41,Location2,Device3,Variant A,32.69943697741579,0.11462565143362906
18,64,Location3,Device3,Variant A,21.05718634128645,0.101043572076193
19,42,Location1,Device3,Control,21.532686612273213,0.08116790232853589
20,35,Location3,Device2,Variant B,23.854361330917765,0.13604510440530046
21,55,Location3,Device2,Variant A,30.03231766671137,0.10244940409681967
22,43,Location3,Device1,Control,16.171548290304244,0.08584477623247644
23,31,Location3,Device3,Variant A,29.319742424718605,0.06566698928999175
24,26,Location2,Device3,Variant A,29.23469994538906,0.10026333184000864
25,27,Location3,Device2,Control,23.523473716524897,0.08957163986936345
26,38,Location2,Device2,Variant A,18.70222049865199,0.14736696722893078
27,34,Location2,Device2,Control,23.71484376727734,0.09816041342445934
28,23,Location3,Device3,Variant A,18.548588855879373,0.11720719103079376
29,33,Location1,Device1,Variant B,28.78639953688937,0.12821783534277648
30,18,Location3,Device1,Control,20.452340700896684,0.11033182198732612
31,36,Location3,Device2,Variant B,26.5126283444469,0.08937280966787758
32,53,Location2,Device2,Variant A,20.457041754437032,0.137304786825231
33,42,Location2,Device2,Variant B,31.198428620444616,0.11738440127548833
34,47,Location2,Device2,Control,21.77939336655818,0.10123365293073655
35,37,Location2,Device1,Variant A,16.83168403923287,0.13421255071412286
36,37,Location3,Device1,Control,16.841749805828016,0.10795436158615304
37,32,Location1,Device2,Variant A,26.16959466835722,0.12559434937599645
38,57,Location1,Device1,Variant B,21.31724856339525,0.09476042958802926
39,50,Location1,Device2,Variant B,28.98810504361608,0.09545388250163608
40,19,Location1,Device1,Control,22.724188832704424,0.08430496616836558
41,27,Location2,Device3,Control,20.590902842845292,0.08012271679254049
42,50,Location3,Device3,Variant A,14.68576498682734,0.1175244613769242
43,49,Location2,Device1,Control,25.11442490583893,0.1417135064928554
44,28,Location2,Device2,Control,18.274973713459985,0.1342612346478313
