Product,Region,Price,Units Sold,Sale Date
,Region_1,72.87,10.0,2022-01-01
Product_40,Region_2,46.19,10.0,2022-01-02
Product_1,Region_5,,4.0,2022-01-03
Product_6,Region_8,143.47,8.0,2022-01-04
Product_44,Region_4,122.54,10.0,2022-01-05
Product_21,Region_8,15.76,20.0,2022-01-06
Product_31,Region_10,1.6,11.0,2022-01-07
,,,11.0,2022-01-08
Product_20,Region_8,9.55,8.0,2022-01-09
Product_34,Region_1,58.88,,2022-01-10
Product_40,Region_5,119.96,8.0,2022-01-11
Product_3,Region_7,110.99,7.0,2022-01-12
Product_31,,270.39,6.0,2022-01-13
Product_35,Region_6,36.16,,2022-01-14
Product_34,Region_4,20.51,6.0,2022-01-15
Product_50,Region_8,141.53,5.0,2022-01-16
Product_40,Region_6,121.1,8.0,2022-01-17
Product_4,Region_5,74.25,9.0,2022-01-18
Product_19,Region_10,202.71,11.0,2022-01-19
Product_23,,306.38,9.0,2022-01-20
Product_6,Region_9,,12.0,2022-01-21
Product_13,Region_8,155.29,15.0,2022-01-22
,,36.26,,2022-01-23
Product_19,Region_4,,11.0,2022-01-24
Product_9,Region_8,282.73,12.0,2022-01-25
,Region_4,24.51,7.0,2022-01-26
Product_3,Region_4,8.23,,2022-01-27
Product_48,Region_6,26.42,9.0,2022-01-28
Product_26,Region_9,180.04,16.0,2022-01-29
Product_13,Region_7,57.35,10.0,2022-01-30
Product_4,Region_4,7.42,10.0,2022-01-31
Product_26,Region_8,46.09,5.0,2022-02-01
Product_44,,86.47,12.0,2022-02-02
Product_50,Region_2,201.79,8.0,2022-02-03
Product_4,Region_3,54.4,10.0,2022-02-04
Product_35,Region_3,47.16,7.0,2022-02-05
Product_42,Region_1,95.54,14.0,2022-02-06
Product_44,Region_8,83.33,16.0,2022-02-07
,Region_2,230.97,,2022-02-08
Product_20,Region_5,,7.0,2022-02-09
Product_14,Region_9,,7.0,2022-02-10
Product_5,Region_4,,10.0,2022-02-11
Product_37,Region_9,23.35,10.0,2022-02-12
,,13.59,12.0,2022-02-13
Product_31,Region_8,49.27,4.0,2022-02-14
,Region_3,,12.0,2022-02-15
Product_12,Region_6,207.17,14.0,2022-02-16
Product_20,Region_9,30.24,6.0,2022-02-17
,Region_5,36.52,11.0,2022-02-18
Product_8,Region_5,492.33,6.0,2022-02-19
Product_39,Region_1,219.55,8.0,2022-02-20
Product_17,Region_7,15.9,11.0,2022-02-21
Product_29,Region_7,28.17,11.0,2022-02-22
Product_20,Region_2,215.55,,2022-02-23
,Region_2,78.14,11.0,2022-02-24
Product_47,Region_1,20.12,2.0,2022-02-25
Product_42,,,9.0,2022-02-26
Product_36,Region_4,4.02,11.0,2022-02-27
Product_17,Region_9,131.35,7.0,2022-02-28
Product_31,Region_5,20.65,,2022-03-01
Product_43,Region_6,60.66,8.0,2022-03-02
Product_23,Region_8,144.93,,2022-03-03
Product_16,Region_7,4.85,14.0,2022-03-04
Product_34,Region_8,53.75,9.0,2022-03-05
Product_8,Region_5,41.48,16.0,2022-03-06
Product_32,Region_1,,15.0,2022-03-07
Product_4,Region_2,58.77,9.0,2022-03-08
Product_47,Region_5,31.55,10.0,2022-03-09
Product_23,,,5.0,2022-03-10
Product_10,Region_9,36.24,13.0,2022-03-11
Product_43,Region_5,,6.0,2022-03-12
Product_16,Region_3,46.95,13.0,2022-03-13
Product_15,Region_8,30.75,10.0,2022-03-14
Product_34,Region_1,124.3,12.0,2022-03-15
Product_27,Region_8,30.51,4.0,2022-03-16
,Region_7,171.31,15.0,2022-03-17
Product_27,Region_4,40.04,15.0,2022-03-18
Product_22,Region_6,325.01,11.0,2022-03-19
Product_20,Region_7,348.13,9.0,2022-03-20
Product_32,Region_8,37.15,15.0,2022-03-21
Product_4,Region_7,24.52,10.0,2022-03-22
Product_28,Region_4,101.05,16.0,2022-03-23
Product_45,Region_7,87.88,13.0,2022-03-24
Product_1,Region_3,72.55,17.0,2022-03-25
Product_39,Region_1,99.23,8.0,2022-03-26
Product_44,Region_2,521.88,,2022-03-27
Product_21,Region_2,230.33,6.0,2022-03-28
Product_25,Region_5,2.56,,2022-03-29
Product_21,Region_8,68.95,11.0,2022-03-30
Product_10,Region_8,,7.0,2022-03-31
Product_40,Region_4,93.77,,2022-04-01
Product_11,Region_10,290.49,,2022-04-02
,Region_8,37.6,18.0,2022-04-03
,Region_10,,11.0,2022-04-04
Product_6,Region_2,376.4,10.0,2022-04-05
Product_29,Region_1,49.19,12.0,2022-04-06
Product_46,Region_7,45.05,15.0,2022-04-07
Product_42,,,19.0,2022-04-08
Product_25,Region_8,5.57,13.0,2022-04-09
Product_2,Region_9,140.22,13.0,2022-04-10
Product_29,,13.41,10.0,2022-04-11
Product_32,Region_7,1.66,,2022-04-12
,Region_8,267.16,13.0,2022-04-13
Product_34,Region_7,142.77,14.0,2022-04-14
Product_19,Region_5,,15.0,2022-04-15
Product_33,,369.85,6.0,2022-04-16
Product_28,Region_8,135.58,10.0,2022-04-17
Product_19,Region_1,74.34,7.0,2022-04-18
Product_49,Region_2,28.83,17.0,2022-04-19
,Region_1,7.61,8.0,2022-04-20
Product_13,Region_7,23.37,12.0,2022-04-21
Product_25,Region_10,71.92,5.0,2022-04-22
Product_25,Region_5,100.57,9.0,2022-04-23
Product_46,Region_4,99.75,11.0,2022-04-24
Product_17,Region_1,89.04,10.0,2022-04-25
Product_24,Region_9,0.25,7.0,2022-04-26
Product_46,Region_3,485.84,8.0,2022-04-27
Product_50,Region_9,42.38,,2022-04-28
Product_47,Region_7,13.46,12.0,2022-04-29
Product_36,Region_5,88.62,8.0,2022-04-30
Product_26,Region_3,,6.0,2022-05-01
Product_29,Region_10,56.6,11.0,2022-05-02
Product_39,Region_2,43.47,11.0,2022-05-03
Product_28,Region_1,133.37,7.0,2022-05-04
Product_40,Region_2,32.58,15.0,2022-05-05
Product_31,Region_4,48.33,7.0,2022-05-06
,Region_5,,11.0,2022-05-07
Product_6,,90.39,12.0,2022-05-08
Product_27,Region_1,3.34,8.0,2022-05-09
Product_5,Region_5,2.06,12.0,2022-05-10
Product_42,Region_4,87.2,15.0,2022-05-11
Product_41,Region_10,18.42,8.0,2022-05-12
Product_11,Region_3,49.66,12.0,2022-05-13
Product_26,Region_3,22.26,13.0,2022-05-14
Product_49,Region_5,55.48,11.0,2022-05-15
Product_2,,9.6,10.0,2022-05-16
Product_1,Region_4,7.97,9.0,2022-05-17
,Region_2,23.46,10.0,2022-05-18
Product_9,Region_3,14.4,10.0,2022-05-19
Product_3,Region_7,8.03,11.0,2022-05-20
Product_18,Region_2,131.06,14.0,2022-05-21
Product_49,Region_5,136.4,14.0,2022-05-22
Product_37,Region_3,4.31,6.0,2022-05-23
Product_26,Region_3,,6.0,2022-05-24
Product_11,Region_9,62.74,9.0,2022-05-25
,Region_10,6.62,4.0,2022-05-26
Product_42,Region_9,164.0,12.0,2022-05-27
Product_46,Region_8,132.27,10.0,2022-05-28
Product_17,Region_5,153.5,14.0,2022-05-29
Product_17,Region_5,180.61,4.0,2022-05-30
Product_7,Region_5,142.49,9.0,2022-05-31
Product_27,Region_8,19.28,7.0,2022-06-01
Product_35,Region_9,33.79,12.0,2022-06-02
Product_6,Region_1,115.16,6.0,2022-06-03
Product_2,Region_4,29.85,10.0,2022-06-04
Product_33,,7.97,13.0,2022-06-05
Product_22,Region_4,7.59,14.0,2022-06-06
Product_29,Region_8,198.02,,2022-06-07
Product_11,,64.18,11.0,2022-06-08
Product_42,Region_9,232.5,8.0,2022-06-09
Product_14,Region_1,469.65,15.0,2022-06-10
Product_50,Region_8,110.11,14.0,2022-06-11
Product_33,Region_2,110.07,10.0,2022-06-12
Product_44,Region_10,13.08,8.0,2022-06-13
Product_10,Region_1,130.43,14.0,2022-06-14
Product_2,Region_7,8.8,17.0,2022-06-15
Product_2,Region_3,211.85,12.0,2022-06-16
Product_25,Region_8,255.73,6.0,2022-06-17
Product_15,Region_3,,10.0,2022-06-18
,Region_2,,9.0,2022-06-19
Product_37,Region_10,321.89,5.0,2022-06-20
Product_30,Region_1,21.2,13.0,2022-06-21
,Region_8,457.9,11.0,2022-06-22
